Question Number,English Content,Chinese Translation,wrong,reviewed,wrong_date,wrong_record,md5,mp3_path
58,"In his lifetime, he composed a large number of works.",他一生创作了大量的作品。,0,0,[],[],494e0b05f74ec4d251f91627a1ecb767,./wfd_mp3\494e0b05f74ec4d251f91627a1ecb767.mp3
59,"In addition to class requirements, students must pass all the qualifying examinations.",除了课堂要求之外，学生还必须通过所有资格考试。,0,0,[],[],395f60e1cf9c5cc0a30299558348783e,./wfd_mp3\395f60e1cf9c5cc0a30299558348783e.mp3
60,We encourage students to complete their applications before the deadline.,我们鼓励学生在截止日期前完成申请。,0,0,[],[],b473ad253c79dc55ce4b38a47eb5e9d7,./wfd_mp3\b473ad253c79dc55ce4b38a47eb5e9d7.mp3
61,She began by giving an outline of the previous lecture.,她首先针对上一讲的内容进行了概述。,0,0,[],[],9812bf758b077b5f45e413cfb175e065,./wfd_mp3\9812bf758b077b5f45e413cfb175e065.mp3
62,Social psychology is concerned with the understanding of human behaviors.,社会心理学关注的是对人类行为的理解。,0,0,[],[],3c201b12bf070441a3a10324fc2db3c4,./wfd_mp3\3c201b12bf070441a3a10324fc2db3c4.mp3
63,This is the first example of a modern and professional army.,这是现代化和职业化军队的第一个例子。,0,0,[],[],1a1acb741e02f8b419098cca2d77512c,./wfd_mp3\1a1acb741e02f8b419098cca2d77512c.mp3
64,The department is doing some crucial work on climate change.,该部门正在做一些关于气候变化的重要工作。,0,0,[],[],e05a047fadd89932bf9722129fbbbef4,./wfd_mp3\e05a047fadd89932bf9722129fbbbef4.mp3
65,The biology department is respected for research activities.,生物系以研究活动著称。,0,0,[],[],8a57fa246c2fc0662a3ec19bd8bcd218,./wfd_mp3\8a57fa246c2fc0662a3ec19bd8bcd218.mp3
66,Tutorials are scheduled in the final week of the term.,辅导课安排在学期的最后一周。,0,0,[],[],a4bf576184c7d0cd60cabbb81f108c18,./wfd_mp3\a4bf576184c7d0cd60cabbb81f108c18.mp3
67,Economic development needs to be supported by the government.,经济发展需要政府的支持。,0,0,[],[],ef71e3fc102d7b5b327f3b07175e52ca,./wfd_mp3\ef71e3fc102d7b5b327f3b07175e52ca.mp3
68,The toughest part of postgraduate education is funding.,研究生教育最困难的部分是资金。,0,0,[],[],b8b3f5c423e9bffe52db0e81447f43ff,./wfd_mp3\b8b3f5c423e9bffe52db0e81447f43ff.mp3
69,"Although sustainable development is not easy, it is an unavoidable responsibility.",可持续发展虽然不容易，但是一项不可推卸的责任。,0,0,[],[],ecb811d84fe90cd3c34a83959a4c6846,./wfd_mp3\ecb811d84fe90cd3c34a83959a4c6846.mp3
70,An introduction is an essential element of a presentation.,简介是演讲的基本要素。,0,0,[],[],1f4e83b19af234ae04bea30150f3ed0f,./wfd_mp3\1f4e83b19af234ae04bea30150f3ed0f.mp3
71,Students will develop confidence in their ability to think critically.,学生将建立对批判性思考能力的信心。,0,0,[],[],a88d53fad0a262404d3df01925415496,./wfd_mp3\a88d53fad0a262404d3df01925415496.mp3
72,Consumer confidence has a direct influence on sales.,消费者信心对销售有直接影响。,0,0,[],[],d5ded37b2ad08e80fe4e41a1e9d37459,./wfd_mp3\d5ded37b2ad08e80fe4e41a1e9d37459.mp3
73,Convincing evidence to support this theory is hard to obtain.,支持这一理论的令人信服的证据很难获得。,0,0,[],[],63b1ba1ce38821a2c7c33cbab821066f,./wfd_mp3\63b1ba1ce38821a2c7c33cbab821066f.mp3
74,"Despite the protest, the chemistry department was closed down.",尽管有抗议，化学系还是被关闭了。,0,0,[],[],0e3c92833408fa194d5d17182b7985a3,./wfd_mp3\0e3c92833408fa194d5d17182b7985a3.mp3
75,"Despite their differences, all forms of life share certain characteristics.",尽管存在差异，但所有形式的生命都有某些共同的特征。,0,0,[],[],b084817a52758d9219efd4c5d1db3a57,./wfd_mp3\b084817a52758d9219efd4c5d1db3a57.mp3
76,Economic problems caused a big rise in unemployment.,经济问题导致失业人数大幅增加。,0,0,[],[],4e98498cdc3d373e6b695f4b1fec20ee,./wfd_mp3\4e98498cdc3d373e6b695f4b1fec20ee.mp3
77,The academic strength of the early Roman Republic will be examined.,我们将考察早期罗马共和国的学术实力。,0,0,[],[],43bbcf3ec8741b5683f3b338dd2f45ca,./wfd_mp3\43bbcf3ec8741b5683f3b338dd2f45ca.mp3
78,Many experts think that the world climate is constantly changing.,许多专家认为世界气候在不断变化。,0,0,[],[],94d682c31a73def9836235069dd30c1a,./wfd_mp3\94d682c31a73def9836235069dd30c1a.mp3
79,Students are permitted to park at campus parking spaces.,学生可以在校园停车场停车。,0,0,[],[],0e14cf2a9657fcdf3a9327a3e8655587,./wfd_mp3\0e14cf2a9657fcdf3a9327a3e8655587.mp3
80,It is really a comprehensive program covering both theory and practice.,这确实是一个包括理论和实践的综合项目。,0,0,[],[],f80a9c30d5b83e718bc53a305b325e1b,./wfd_mp3\f80a9c30d5b83e718bc53a305b325e1b.mp3
81,We are researching the most significant challenges that are faced in our society today.,我们正在研究当今社会所面临的最重大的挑战。,0,0,[],[],375125a29b7b75a3deec63c65dec1bd4,./wfd_mp3\375125a29b7b75a3deec63c65dec1bd4.mp3
82,Our professor is hosting the business development conference.,我们的教授正在主持商业发展会议。,0,0,[],[],ae30dd0da17ac45144d0d1b87a0d7557,./wfd_mp3\ae30dd0da17ac45144d0d1b87a0d7557.mp3
83,She used to be the editor of the student newspaper.,她曾是校报的编辑。,0,0,[],[],25fdb48ff91aba7fcc9792953fa4158c,./wfd_mp3\25fdb48ff91aba7fcc9792953fa4158c.mp3
84,Statistical results should be expressed in different ways depending on the circumstances.,统计结果应根据情况以不同的方式表示。,0,0,[],[],4e451654fb83b65468eda734a499f331,./wfd_mp3\4e451654fb83b65468eda734a499f331.mp3
85,You are advised to use multiple research methods for this project.,建议你们在这个项目中使用多种研究方法。,0,0,[],[],dc7d6cc7c2cfe1762da7f40912916edf,./wfd_mp3\dc7d6cc7c2cfe1762da7f40912916edf.mp3
86,Students requiring an extension should apply sooner rather than later.,要求延期的学生应尽早申请，不宜推迟。,0,0,[],[],73994229878c482f8fdc57ec48c36088,./wfd_mp3\73994229878c482f8fdc57ec48c36088.mp3
87,Textile manufacturing plays a large role in improving economies.,纺织业在改善经济方面起着很大的作用。,0,0,[],[],53ef2708b9be93442614b6c20d816faf,./wfd_mp3\53ef2708b9be93442614b6c20d816faf.mp3
88,Food that contains antibiotics provides few or no nutritional value.,含有抗生素的食物几乎没有营养价值。,0,0,[],[],896599341eb6caaa5df113bea1463b1d,./wfd_mp3\896599341eb6caaa5df113bea1463b1d.mp3
89,The archaeologist's new discoveries stand out in previously overlooked foundations.,这位考古学家的新发现在以前被忽视的基础上更引人注目。,0,0,[],[],361621e622e1620540a93b15cf99612f,./wfd_mp3\361621e622e1620540a93b15cf99612f.mp3
90,New developments in technology are influencing current research.,技术的新发展正在影响当前的研究。,0,0,[],[],2e98ba8e6a897d6bbeca36cf25faabf8,./wfd_mp3\2e98ba8e6a897d6bbeca36cf25faabf8.mp3
91,Most known oil reserves will only last for half a century.,大多数已知的石油储量只能维持半个世纪。,0,0,[],[],ba1a005e45ef23a0d2a66b58d50a26b6,./wfd_mp3\ba1a005e45ef23a0d2a66b58d50a26b6.mp3
92,The designers will complete the plan later today.,设计师们将在今天晚些时候完成这个设计图。,0,0,[],[],8acba1a356bd3f80dffade8c5fbc3dc2,./wfd_mp3\8acba1a356bd3f80dffade8c5fbc3dc2.mp3
93,The essay will be published once the research is finished.,一旦研究完成，这篇文章就会发表。,0,0,[],[],b43720cb3697b317b74bfca49650a9e1,./wfd_mp3\b43720cb3697b317b74bfca49650a9e1.mp3
94,"The faculty staff are very approachable, friendly and extremely helpful.",教职工都很平易近人，友好，而且非常乐于助人。,0,0,[],[],b7e23525a0743904e6a9cc137eecc031,./wfd_mp3\b7e23525a0743904e6a9cc137eecc031.mp3
95,The railway makes long-distance travel possible for everyone.,铁路使每个人都能进行长途旅行。,0,0,[],[],60aa1b2d3cb7e7d3bf4308ac1ce8e1fd,./wfd_mp3\60aa1b2d3cb7e7d3bf4308ac1ce8e1fd.mp3
96,The theme of the instrumental work exhibits more of a demure compositional style.,这首乐器演奏的主题表现出了极为庄重的创作风格。,0,0,[],[],c62830863dce6fb0ab6ab3ec5906d772,./wfd_mp3\c62830863dce6fb0ab6ab3ec5906d772.mp3
97,The ways in which people communicate are constantly changing.,人们交流的方式在不断变化。,0,0,[],[],06fc66b946af40d3dc268c282a8ea1a2,./wfd_mp3\06fc66b946af40d3dc268c282a8ea1a2.mp3
98,There is a clear need for further research in this field.,在这个领域明显需要进一步研究。,0,0,[],[],225eb9abac5c25c747c5730118e4b020,./wfd_mp3\225eb9abac5c25c747c5730118e4b020.mp3
99,Our laboratory equipment is provided free of charge.,我们的实验设备是免费的。,0,0,[],[],57db19d59e0bcc8d530131529e99f638,./wfd_mp3\57db19d59e0bcc8d530131529e99f638.mp3
100,It would be extremely beneficial to work together.,一起工作是非常有益的。,0,0,[],[],b914eebc513a88765dc775f3cc8521fb,./wfd_mp3\b914eebc513a88765dc775f3cc8521fb.mp3
101,This project is divided into four main sections.,本项目分为四个主要部分。,0,0,[],[],2256a8256e75365d0d8a966f73660499,./wfd_mp3\2256a8256e75365d0d8a966f73660499.mp3
102,Understanding how to use the library will save your time.,了解如何使用图书馆会节省你的时间。,0,0,[],[],eab4682df2a477ad2445e1d81edb4869,./wfd_mp3\eab4682df2a477ad2445e1d81edb4869.mp3
103,The essay is easy to write once the research is completed.,一旦研究完成，这篇文章很容易写了。,0,0,[],[],5bd15bfd9f171ca43c6bb1d63c986505,./wfd_mp3\5bd15bfd9f171ca43c6bb1d63c986505.mp3
104,Those who are considering a career in marketing should attend the talk.,那些正在考虑从事市场营销的人应该参加这次演讲。,0,0,[],[],698c9d01f546539b18fc3b360ee10d27,./wfd_mp3\698c9d01f546539b18fc3b360ee10d27.mp3
105,The university has invested in new technologies designed to support learning.,大学已投资于新技术，旨在支持学习。,0,0,[],[],144a86dfa8d1209f798831b059532748,./wfd_mp3\144a86dfa8d1209f798831b059532748.mp3
106,A good research assistant is not afraid to ask questions.,一个好的研究助手不怕问问题。,0,0,[],[],5583b9445f3a4cfb86b51a271d6a089d,./wfd_mp3\5583b9445f3a4cfb86b51a271d6a089d.mp3
107,Experts are now able to forecast weather over a much longer period.,专家们现在能够预测更长期的天气。,0,0,[],[],fd09bd53909157e7e9a7c4dfd46a1a4f,./wfd_mp3\fd09bd53909157e7e9a7c4dfd46a1a4f.mp3
108,Archaeologists discovered tools and other artifacts near the ancient tomb.,考古学家在古墓附近发现了工具和其他手工艺品。,0,0,[],[],43538a88532c6a7d32470f405c028210,./wfd_mp3\43538a88532c6a7d32470f405c028210.mp3
109,We have a lecture in the morning on Thursday.,我们星期四上午有一节课。,0,0,[],[],461d2b26e9313d943022e1296b005b72,./wfd_mp3\461d2b26e9313d943022e1296b005b72.mp3
110,Thousands of people turned out ahead of the prestigious election.,在这次著名的选举之前，成千上万的人参加了投票。,0,0,[],[],682195c0979c6bb733d4a075feb62296,./wfd_mp3\682195c0979c6bb733d4a075feb62296.mp3
111,A professor took one year off to work on her book.,一位教授休了一年的假，专注于撰写她的书籍。,0,0,[],[],bae193838cd0ebbd026f7ef4ab2f4580,./wfd_mp3\bae193838cd0ebbd026f7ef4ab2f4580.mp3
112,The lecture tomorrow will discuss the educational policy of the United States.,明天的讲座将讨论美国的教育政策。,0,0,[],[],4feaf2a13c8fcfca170425a97725e447,./wfd_mp3\4feaf2a13c8fcfca170425a97725e447.mp3
113,The history lecture has been moved to the lecture theater.,历史课已经被改到大讲堂进行了。,0,0,[],[],f23ab904c472aa879f7a09594b94fe0d,./wfd_mp3\f23ab904c472aa879f7a09594b94fe0d.mp3
114,Biology involves the study of life at all levels.,生物学涉及对生命各个层次的研究。,0,0,[],[],ee76289300423afc56214ccae8a4724e,./wfd_mp3\ee76289300423afc56214ccae8a4724e.mp3
115,Food has become a political issue in the world.,食品已经成为世界上的一个政治问题。,0,0,[],[],e3467a1afb1d4ac03902381ef2bebe63,./wfd_mp3\e3467a1afb1d4ac03902381ef2bebe63.mp3
116,All medical students must clean their hands before entering the room.,所有医科学生在进入房间前必须洗手。,0,0,[],[],474b2012c976aa900f1c7e151249ef40,./wfd_mp3\474b2012c976aa900f1c7e151249ef40.mp3
117,Implementation figures are expected to be improved in the next few years.,执行数据预计在今后几年内会有所改善。,0,0,[],[],a7784c72128b349a2f3a338dbcd3bebf,./wfd_mp3\a7784c72128b349a2f3a338dbcd3bebf.mp3
118,Your statistical information depends on your raw data.,你的统计信息取决于你的原始数据。,0,0,[],[],9ae366d614e36b44aed22d853de48b5e,./wfd_mp3\9ae366d614e36b44aed22d853de48b5e.mp3
119,Certain organisms can reproduce using just one parent.,某些生物体可以只用一个亲本进行繁殖。,0,0,[],[],9eb3515e3ff2e2604c55f35f40c603fd,./wfd_mp3\9eb3515e3ff2e2604c55f35f40c603fd.mp3
120,Protective clothing must always be worn in the laboratory.,在实验室里必须一直穿着防护服。,0,0,[],[],4507e7979eee166fd4862eeacf203c9c,./wfd_mp3\4507e7979eee166fd4862eeacf203c9c.mp3
121,Sound waves are unable to travel through vacuum.,声波不能在真空中传播。,0,0,[],[],3a4f011eca7b56b5e6c59071cc6ce3f3,./wfd_mp3\3a4f011eca7b56b5e6c59071cc6ce3f3.mp3
122,Make sure you choose a course that provides great career opportunities.,确保你选择的课程能提供很好的就业机会。,0,0,[],[],f271c3f347a8c49b3718c0c45f3606f5,./wfd_mp3\f271c3f347a8c49b3718c0c45f3606f5.mp3
123,Undergraduates have a wide range of cultural modules to choose from.,本科生有广泛的文化课可供选择。,0,0,[],[],6b6321c307eb18190525c3a823ec41b5,./wfd_mp3\6b6321c307eb18190525c3a823ec41b5.mp3
124,Social media is criticized for causing internet addiction.,人们批评社交媒体会导致网瘾。,0,0,[],[],1544cb3b9c01e4e74d224d517b3997d3,./wfd_mp3\1544cb3b9c01e4e74d224d517b3997d3.mp3
125,The researchers are disappointed that the results of the research have been proved to be inconclusive.,研究人员感到失望的是，研究结果已被证明是不确定的。,0,0,[],[],5deca4e7bb0602be7226ec34f53cbf46,./wfd_mp3\5deca4e7bb0602be7226ec34f53cbf46.mp3
126,International exchange formed the important part of our study program.,国际交流是我们学习计划的重要组成部分。,0,0,[],[],987b084e209dfec986b9a8acdbf0fd7d,./wfd_mp3\987b084e209dfec986b9a8acdbf0fd7d.mp3
127,Consumer confidence tends to increase as the economy expands.,随着经济繁荣，消费者信心往往会增强。,0,0,[],[],6989f15bdfb236e3bfa7dfcc17aa2a96,./wfd_mp3\6989f15bdfb236e3bfa7dfcc17aa2a96.mp3
128,Food containing ample calories provides little or no nutritional value.,含有过多热量的食物几乎没有提供营养价值。,0,0,[],[],efc44a29241c580ebce4c9803d2c6226,./wfd_mp3\efc44a29241c580ebce4c9803d2c6226.mp3
