Question Number|English Content|Chinese Translation
85|Experts are now able to forecast weather over a much longer period.|专家们现在能够预测更长期的天气。
86|Making mistakes is fine as long as you learn from them.|只要你能从错误中吸取教训，犯错误没什么大不了的。
87|Some people are motivated by competition, while others prefer to collaborate.|有些人的动力是竞争，而另一些人更喜欢合作。
88|The ability to work with fellow students cannot be stressed enough.|与同学一起工作的能力是再怎么强调也不为过的。
89|Archeologists discovered tools and other artifacts near the ancient tomb.|考古学家在古墓附近发现了工具和其他手工艺品。
90|We have a lecture in the morning on Thursday.|我们星期四上午有一节课。
91|Thousands of people turned out to be at the presidential address.|成千上万的人出席了总统的演讲。
92|The plight of local wildlife has been ignored by developers.|当地野生动物的困境一直被开发商忽视。
93|A professor took one year off to work on her book.|一位教授休了一年的假，专注于撰写她的书籍。
94|The site is designed to be highly interactive.|这个网站被设计成高度交互式的。
95|The lecture tomorrow will discuss the educational policy of the United States.|明天的讲座将讨论美国的教育政策。
96|All the equipment must be returned to the laboratory by Wednesday.|所有的设备必须在星期三前归还实验室。
97|You should submit your term papers to the general office.|你应该把你的学期论文交到办公室。
98|The history lecture has been moved to the lecture theater.|历史课已经被改到大讲堂进行了。
99|Key business partners are often intertwined in expense accounts.|主要业务伙伴经常在费用账目上纠缠不清。
100|Biology involves the study of life at all levels.|生物学涉及对生命各个层次的研究。
101|Food has become a political issue in the world.|食品已经成为世界上的一个政治问题。
102|All medical students must clean their hands before entering the room.|所有医科学生在进入房间前必须洗手。
103|Implementation figures are expected to be improved in the next few years.|执行数据预计在今后几年内会有所改善。
104|The quality of your statistical information depends on your raw data.|你统计信息的质量取决于你的原始数据。
105|Certain organisms can reproduce using just one parent.|某些生物体可以只用一个亲本进行繁殖。
106|Protective clothing must always be worn in the laboratory.|在实验室里必须一直穿着防护服。
107|Sound waves are unable to travel through vacuum.|声波不能在真空中传播。
108|Make sure you choose a course that provides great career opportunities.|确保你选择的课程能提供很好的就业机会。
109|Undergraduates have a wide range of cultural modules to choose from.|本科生有广泛的文化课可供选择。
110|Social media is criticized for causing internet addiction.|人们批评社交媒体会导致网瘾。
111|Sugar is a compound including carbon, oxygen, and hydrogen atoms.|糖是一种包括碳、氧和氢原子的化合物。
112|The researchers are disappointed that the results of the research have been proved to be inconclusive.|研究人员感到失望的是，研究结果已被证明是不确定的。
113|International exchange formed the important part of our study program.|国际交流是我们学习计划的重要组成部分。
114|Consumer confidence tends to increase as the economy expands.|随着经济繁荣，消费者信心往往会增强。
115|Food containing ample calories provides little or no nutritional value.|含有过多热量的食物几乎没有提供营养价值。
116|Make sure you’ve saved all files before turning off the computer.|在关闭电脑之前，确保你已经保存了所有的文件。
117|Many vocational courses at institutions are funded by private enterprises.|一些机构的职业课程是由私营企业资助的。
118|This book can be borrowed for a maximum of one week.|这本书最多可以借一个星期。
119|This essay will argue that technology does more good than harm.|这篇文章将论证技术是利大于弊的。
120|Distance learning allows you to develop a career around your commitments.|远程学习使您能够在兼顾你现有责任的同时发展职业。
121|Growing population has posed a challenge to many governments.|不断增长的人口对许多政府构成了挑战。
122|The history department is very active in research.|历史系非常积极地参与研究工作。
123|Graphs and charts allowed data to be more easily understood.|图形和图表使数据更容易理解。
124|The opening hours of the library are reduced during summer.|图书馆在夏季的开放时间减少了。
125|The coffee machine located on the third floor is not working today.|位于三楼的咖啡机今天不能用了。
126|Muscle cells bring parts of the body closer together.|肌肉细胞使身体的各个部分紧密相连。
127|You will learn how to rationally assess your arguments.|你将学会如何理性地评估你的论点。
128|It takes a long time to walk to university.|步行到大学要花很长时间。
129|Slides and handouts can be downloaded after lectures.|课后可以下载幻灯片和讲义。
130|Business practices must obey contemporary general regulations.|商业实践必须遵守现行的普遍规定。
131|The news will not be received until the following week.|消息要到下一周才会收到。
132|We can see the stars that were formed thirteen billion years ago.|我们可以看到130亿年前形成的恒星。
133|As student union members, you can influence and change our university.|作为学生会的成员，你可以影响并改变我们的大学。
134|The horizontal line on the graph indicates that there was no change in the period.|图表上的水平线表示这一时期没有变化。
135|Purity is one feature that makes gold expensive.|纯度是使黄金昂贵的一个特质。
136|Even simple techniques need to be practiced to become better.|即使是简单的技巧也需要练习才能变得更好。
137|Studying history can help you better understand the present.|学习历史可以帮助你更好地理解现在。
138|Many food crops require large amounts of water and fertilizer.|许多粮食作物需要大量的水和肥料。
139|The course covers architecture planning and construction on the international scale.|课程涵盖了国际范围内的建筑规划与建造。
140|Studying medicine allows for a wide range of career opportunities.|学习医学提供了广泛的职业机会。
141|Classical mechanics is sometimes considered as a branch of applied mathematics.|经典力学有时候被认为是应用数学的一个分支。
142|The deadline for the marketing assignment has been extended.|市场营销作业的截止时间被延后了。
143|This course aims to develop your knowledge of statistics.|这门课程旨在发展你的统计学知识。
144|Professors with higher educational standards trained them extremely seriously.|具有较高教育水平的教授极其认真地训练他们。
145|The capacity of programming computers is expanding enormously every year.|编程计算机的能力每年都在极大地增强。
146|Eating fish twice a week is recommended for a healthy diet.|每周吃两次鱼是健康饮食的建议。
147|Information technology has changed the way people study today.|信息技术改变了人们今天学习的方式。
148|The library will stay open until midnight this week.|图书馆本周将一直开放到午夜。
149|Two sides have disagreed on how to solve the problem.|双方在如何解决这个问题上意见不一。
150|The very basic feature of computing would be counting and calculating.|计算机算法的最基本特征应该是计数与运算。
151|Babies can distinguish between what is language and what is not.|婴儿能够区分什么是语言，什么不是语言。
152|Psychologists say that what we have experienced influences our behaviors.|心理学家说，我们的经历会影响我们的行为。
153|Many university lectures can now be viewed on the internet.|现在可以在网上观看许多大学的讲座。
154|Urbanization provides the expenses of other communities.|城市化为其他社区的提供了经费。
155|Students are required to have an undergraduate degree in Biology to be enrolled in this course.|修这门课的学生必须有生物学学士学位。
156|Philosophy uses logic and reasons to analyze human experiences.|哲学用逻辑和理由来分析人类的经验。
157|Field trips are an essential part of geography courses.|实地考察是地理课程的重要组成部分。
158|Please return the reference book to the correct position on the library shelf.|请把参考书放回图书馆书架上正确的位置。
159|Providers of higher education treat plagiarism extremely seriously.|高等教育机构对抄袭的态度极其严肃。
160|Extracurricular activities can help students develop more talents.|课外活动可以帮助学生发展更多的才能。
161|The government is funding a research study on the consequences of unemployment.|政府正在资助一项关于失业影响的研究。
162|There are many different styles of business management.|商业管理有许多不同的风格。
163|The digital camera has some advantages over traditional film.|数码相机比传统胶卷有一些优势。
164|The university provides excellent leisure facilities for students and staff.|大学为学生和职员提供优质的休闲设施。
165|The history of economics is a tricky subject to study.|经济学史是一门棘手的学科。
166|Undergraduates may pursue their specific interests within certificate programs.|本科生可以在认证课程中追求自己的爱好。
167|Air pollution is a serious problem all over the world.|空气污染在全世界都是个严重的问题。
168|Urban planning emphasizes efficiency and expansion of communities.|城市规划强调效率和社区的扩展。
169|The course will start with the history of architecture.|这门课程将从建筑学的历史开始。
170|Please note that the seminar has now been canceled.|请注意，研讨会现已取消。
171|Scholarship applications must be handed in by the end of this month.|奖学金申请必须在这个月底之前交上来。
172|Please return your reference books to the library shelves.|请把你的参考书归还到图书馆的书架上。
173|Art and design is a competitive field to work in.|艺术设计是个具有竞争力的工作领域。
174|Many diseases that were once serious have now been eradicated.|许多曾经严重的疾病现在已被根除。
175|The urban geography degree includes the study of demography.|城市地理学位包括对人口统计学的研究。
176|Nutrition plays a key role in athletic performance.|营养物质在运动表现中起着关键作用。
177|Sugar is a solid carbohydrate which is always used to sweeten food.|糖是一种固体碳水化合物，常被用来使食物变甜。
178|Our workshops are opening for all students on campus.|我们的工作坊对校园里的所有学生开放。
179|Reading histories involves a level of careful selections.|阅读历史书需要一定程度的仔细选择。
180|Many universities provide exchange programs to other countries.|许多大学提供到其他国家的交换项目。
181|The deadline for this assignment is next Wednesday.|这个作业的截止日期是下周三。
182|City planners recognize the need for accessible public transport options.|城市规划者认识到无障碍公共交通的必要性。
183|There are a variety of different ways to present statistical information.|有各种不同的方式来表示统计信息。
184|The degree is taught by using a mixture of lectures and seminars.|该学位是通过讲座和研讨课的结合来教授的。
185|The student magazine is looking for a new editor.|学生杂志正在找一位新编辑。
186|Scholarships are available for both local and international students.|本地及国际学生均可获得奖学金。
187|Libraries in many areas were closed due to the lack of funding.|许多地区的图书馆由于缺乏资金而关闭。
188|Accommodation on campus is limited but there are more options nearby.|校园住宿有限，但附近有更多选择。
189|All students have their own style of learning.|所有的学生都有自己的学习风格。
190|This course can help to deepen your appreciation of art.|这门课程有助增强你对艺术的鉴赏力。
191|The research shows that spending time outdoors has a range of benefits.|研究表明花时间在户外有一系列的好处。
192|Career mobility is very important for new graduates.|职业流动性（能在不同工作之间转换的能力）对应届毕业生来说非常重要。
193|The amount of time spent on configuration varies considerably.|花费在配置上的时间差别很大。
194|Academic journals are usually edited by subject specialists.|学术期刊通常由学科专家编辑。
195|Our company must have independent financial auditing.|我们公司必须有独立的财务审计。
196|Please make sure your applications follow the guideline provided.|请确保您的申请符合所提供的标准。
197|Understanding visual media has never been more challenging.|了解视觉媒体这件事从来没有像现在这样具有挑战性。
198|An essay should use evidence from both primary and secondary sources.|一篇文章会使用一手资源和二手资源的论据。
199|A surprisingly large number of students applied for that course.|申请那门课程的学生人数多得惊人。
200|The university library holds a number of collections of geological maps.|大学图书馆收藏了许多地质图。
201|Students are encouraged to read new books recommended by Professor Jones.|鼓励学生阅读琼斯教授推荐的新书。
202|We help individuals to develop and follow their interests.|我们帮助个人发展并追随他们的兴趣。
203|We hope students ignite and follow their interests.|我们希望学生点燃并追随他们的兴趣。
204|Our company currently employs more than ten thousand people worldwide.|我们公司目前在全球拥有员工超过一万人。
205|It is clear that the human population has an impact on the environment.|很明显，人口对环境有影响。
206|It is an integrated course with several main elements.|这是一门由几个主要元素组成的综合性课程。
207|The public is often misled by biased coverage.|公众经常被有偏见的报道所误导。
208|The extent of advertising to children is very much open to debate.|广告对儿童的影响程度是很容易引起争论的。
209|The renowned journalism will last for half of the century.|那个著名的新闻报道将持续半个世纪。
210|The closing date of applications for travel scholarships is next Monday.|旅游奖学金的申请截止日期是下星期一。
211|The university's main library will be open till midnight next Saturday.|大学的主图书馆将在下周六开放至午夜。
212|Students may only park their cars in authorized university parking spaces.|学生只能将车停在学校指定的停车位。
213|The study of utilizing projects is funded by the university.|运用项目的研究由大学资助。
214|We help students to develop their individualities and follow their interests.|我们帮助学生发展他们的个性，并遵循他们的兴趣。
215|Many universities are continuously expanding the postgraduate education online learning resources.|许多高校都在不断扩大研究生教育的在线学习资源。
216|Our aim is to transmit mathematics teaching in the classroom.|我们的目标是在课堂上进行数学教学。
217|Experts said reading and listening to music can reduce stress.|专家说阅读和听音乐可以减轻压力。
218|The night sky has always involved mystery and wonder.|夜空总是充满神秘和惊奇。
219|Please refer to the guidelines for more information on setting goals.|有关设定目标的更多信息，请参阅指南。
220|The terms, illness and disease, are confusing despite clear differences.|尽管“病”和“疾病”有明显的区别，但这两个术语仍然令人困惑。
221|Every living thing begins as a single cell.|所有生物都是从单个细胞开始的。
222|Money and how it is paid can affect the motivation to work.|工资的金额和支付方式会影响工作的动力。
223|These words recognized the excellence of the undergraduates’ research projects.|这些话肯定了本科生研究项目的优秀。
224|Before preparing food, please make sure to wash your hands.|在准备食物之前，请务必洗手。
225|Technology is no longer a simple tool that we can control.|科技不再是我们可以控制的简单工具。
226|The teaching staff are actively engaged in the original research.|教职工积极从事原创性研究。
227|There is no economic reason why public borrowing is necessarily bad.|没有经济原因可以解释为什么公共借贷一定是坏事。
228|For the purpose of the research, data should be collected and analyzed.|为了达到研究目的，应该收集数据和分析数据。
229|The deadline for the submission of this assignment is tomorrow.|交作业的最后期限是明天。
230|We are phasing out disposable cups on campus.|我们正在校园里逐步淘汰一次性杯子。
231|British students must study mathematics at secondary schools.|英国学生在中学必须学习数学。
232|Companies’ projects must adapt to the general data protection regulations.|公司的项目必须适应常规的数据保护规定。
233|Our aim is to transform classical teaching in the classroom.|我们的目标是改造传统的课堂教学。
234|He wrote poetry and plays as well as scientific papers.|他不仅写科学论文，还写诗歌和戏剧。
235|You need to hand in an essay next semester.|你需要在下个学期交一篇论文。
236|Scientific experiments should be repeated to verify the results.|应该重复科学实验来验证结果。
237|We are more able to accommodate postgraduate students than previously possible.|我们比以前更有能力安顿研究生。
238|Please click on the logo above to enter the site.|请点击上面的网站徽标进入网站。
239|There are a wide variety of disciplines in the field of engineering.|在工程领域有各种各样的学科。
240|These two regions are both areas of economic development.|这两个地区都是经济发展的地区。
241|Parents are financially responsible for their children right up until they reach adulthood.|父母对他们的孩子负有经济责任，直到他们成年。
242|More research is needed before any definitive conclusion can be drawn.|在得出任何明确的结论之前，还需要进行更多的研究。
243|The untapped potential of using sunray is phenomenal.|利用太阳光的潜力是惊人的。
244|Students are encouraged to think carefully about their accommodation needs.|我们鼓励学生仔细考虑他们的住宿需求。
245|Peer review is an essential part of scientific methods.|同行评议是科研方法的重要组成部分。
246|Advanced technology created growth in the economy.|先进科技创造了经济增长。
247|This is a compulsory course, so make sure you attend.|这是必修课，所以你一定要参加。
248|Lecture outlines are available on the college internal website.|课程大纲可在学院内部网站上查阅。
249|There is an agreed consensus that leadership skills can be taught.|人们一致认为，领导技能是可以教授的。
250|This course places considerable emphasis on critical thinking skills.|本课程相当重视批判性思维技能。
251|Doctoral writings have the structure in place as well as scientific papers.|博士论文和科研论文都有这样的结构。
252|A typical part of the course involves the study of society.|这门课程的一个典型部分包括了社会研究。
253|Optional tutorials are offered in the final week of the term.|选修辅导课在学期的最后一周提供。
254|Banks charge interest on the money they lend to customers.|银行从借给客户的钱中收取利息。
255|Scientists have founded all parts of society today.|科学家们建立了当今社会的各个部分。
256|Physics is the key subject to understanding the world and the universe.|物理学是理解世界和宇宙的关键学科。
257|Practical experience is a vital part of legal training.|实践经验是法律培训的重要组成部分。
258|Effective presenters make eye contact with the audience.|能带动观众的演讲者会与听众进行眼神交流。
259|This new camera can identify your eyes and focus on them.|这个新相机可以识别你的眼睛并对其进行聚焦。
260|There is a pharmacy on campus near the bookstore.|校园里书店附近有个药房。
261|Recession triggers exciting creativity and high rates of public wisdom.|经济衰退激发了令人兴奋的创造力和高比例的公众智慧。
262|Students will focus on reporting news on changing the media world.|学生将专注于报道改变媒体世界的新闻。
263|The use of wind energy has increased rapidly.|风能的利用率已迅速增加。
264|Globalization has been an overwhelming urbanization phenomenon.|全球化是一种势不可挡的城市化现象。
265|The other book isn't thorough, but it's more insightful.|另一本书不够详尽，但更有见地。
266|Art is an expression of creative skills and imagination.|艺术是创造力和想象力的表现。
267|Building trust is not something that can be achieved overnight.|建立信任不是一朝一夕就能实现的。
268|An architect is required to have problem-solving skills and an eye for design.|建筑师需要有解决问题的能力和设计的眼光。
269|The university will cease the colossal renovation of the faint empty theater.|这所大学将停止对那座昏暗的空剧院的大规模整修。
270|A wide range of courses covered different aspects in this subject.|许多课程涵盖了这门学科的不同方面。
271|In his lifetime, he composed a large number of works.|他一生创作了大量的作品。
272|Online courses enable people to improve their skills while employed.|在线课程使人们能够在就业时提高他们的技能。
273|The university now faces a series of challenges of finance.|这所大学现在面临着一系列财务方面的挑战。
274|The exam application system has been upgraded for professional exams.|针对专业考试我们升级了考试申请系统。
275|In addition to class requirements, students must pass all the qualifying examinations.|除了课堂要求之外，学生还必须通过所有资格考试。
276|New media have transcended traditional national boundaries.|新媒体超越了传统的国界。
277|Please confirm that you have received the textbook.|请确认课本已经收到。
278|Researchers found that trees can relieve stress and anxiety.|研究人员发现，树木可以缓解压力和焦虑。
279|All students can learn even though they have different speeds.|所有的学生都可以学习，即使他们有不同的速度。
280|The marketing budget has been doubled since the beginning of the year.|营销预算自年初以来已经翻了一番。
281|We encourage students to complete their applications before the deadline.|我们鼓励学生在截止日期前完成申请。
282|I will come back to this in a moment.|我稍后会回到这个问题上。
283|The curriculum should be adjusted to the current development.|课程设置应适应当前的发展。
284|The student shop sells a range of stationery.|学生商店出售各种文具。
285|Let me give you an example to explain what I mean.|让我举个例子来解释我的意思。
286|Tutors should set clear goals at the start of the class.|导师应该在课程开始时设定明确的目标。
287|She began by giving an outline of the previous lecture.|她首先针对上一讲的内容进行了概述。
288|Courses on nutrition are growing in popularity every year.|营养课程每年都越来越受欢迎。
289|Strangely, people are simultaneously impressed by and are skeptical about statistics.|奇怪的是，人们对"统计数据"既感到印象深刻又持怀疑态度。
290|The timetable for the next term will be available next week.|下学期的课程表将于下周公布。
291|A demonstrated ability to write clear, correct and concise English is obligatory.|具备清晰、准确和简洁的英语写作能力是必需的。
292|Most of the lectures begin punctually, so do not be late.|大多数的讲座都会准时开始，所以不要迟到。
293|The stock market crash had repercussions throughout the world.|股市崩盘在全世界产生了影响。
294|The student union hosts a variety of social events.|学生会举办各种各样的社交活动。
295|Default designed packages are likely to be used for most computers.|大多数电脑都可能使用默认设计的包装。
296|Formal conclusions could be established through rigorous experiments.|通过严格的实验可以得出正式的结论。
297|Social psychology is concerned with the understanding of human behaviors.|社会心理学关注的是对人类行为的理解。
298|Our faculty includes five libraries across the university.|我们学院在大学里有五间图书馆。
299|This is the first example of a modern and professional army.|这是现代化和职业化军队的第一个例子。
300|The reception staff can give advice on renting private accommodation.|接待处的工作人员可以提供租用私人住所的建议。
301|Physical strength can be improved through regular training.|通过定期训练可以增强体力。
302|The library will be closed for staff training tomorrow morning.|图书馆将于明天上午闭馆进行员工培训。
303|Too much information may have been avoided by the group research design.|小组研究设计可能避免了太多的信息。
304|The biology department is respected for research activities.|生物系以研究活动著称。
305|Critical thinking is an essential component of a broad education.|批判性思维是广泛教育的重要组成部分。
306|The English degree involves work placements in the third year.|英语学位在第三年安排实习。
307|Technologies have enormously transformed the lifestyle of the majority.|科技极大地改变了大多数人的生活方式。
308|A regional assembly was moved to the devolution of power.|地方议会被转移到权力下放。
309|The deadline for the scientific assignment will be extended.|科学作业的截止日期将会延长。
310|Scientists recognize different ice types according to the water molecule content.|科学家们根据水分子的含量来识别不同类型的冰。
311|Having a strong motivation is important to achieve your goals.|有一个强大的动力对实现你的目标很重要。
312|It is interesting to observe the development of the language skills of toddlers.|观察幼儿语言技能的发展是很有趣的。
313|Most teaching staff make their lecture notes available online.|大多数教师在网上提供他们的课堂笔记。
314|Children start producing words before they are able to walk.|孩子们在会走路之前就开始说话了。
315|The skills of a great stage actor cannot be taught.|伟大的舞台演员的技巧是教不来的。
316|The jobs tomorrow will require higher skill levels.|未来的工作将需要更高的技能水平。
317|The goal of the government policy is to increase the investments.|政府政策的目标是增加投资。
318|Social media is responsible for helping the government to solve social problems.|社交媒体有责任帮助政府解决社会问题。
319|The university library has a collection of early geography maps.|大学图书馆收藏了早期的地理地图。
320|Courses are assessed by group work and individual assignments.|课程通过小组作业和个人作业进行评估。
321|Online courses allow students to work at their own pace.|在线课程允许学生按照自己的节奏学习。
322|The academic department needs to be supported by the government.|学术部门需要由政府提供支持。
323|Businesses must adapt to the general data protection regulations.|企业必须适应通用数据保护法规。
324|When sentencing, the court will consider whether the criminal is guilty or not.|在宣判时，法院将考虑罪犯是否有罪。
325|The internet has transformed the nature of publishing.|互联网改变了出版业的本质。
326|More research is required in the field of food science.|在食品科学领域需要进行更多的研究。
327|Many important policies need to be made.|需要制定许多重要的政策。
328|The academic tradition of the school ensures excellence.|学校的学术传统保证了卓越。
329|The scientists found most of the studies today.|科学家们创立了目前大部分的研究。
330|For the small business, making profit is the main priority.|对于小企业来说，盈利是首要任务。
331|Agricultural development plays a vital role in rural areas.|农业在农村发展中起着至关重要的作用。
332|The new research has produced some unexpected results.|这项新研究产生了一些意想不到的结果。
333|The falling birth rate means the number of students dropped.|出生率的下降意味着学生人数的减少。
334|Sociology policies are the sources of the government to solve social problems.|社会学政策是政府解决社会问题的源泉。
335|We hold visiting tours throughout the year for undergraduate students.|我们全年为本科生举办参观活动。
336|There is a list of dedicated librarians available during teaching time each term.|在每学期的教学时间里，都会有一份专职图书管理员的名单。
337|Rising inflation leads to increasing goods prices and decreasing demand for products.|通货膨胀上升导致商品价格上涨和产品需求下降。
338|We will hold a celebration for the graduated students.|我们将为毕业的学生举行庆祝活动。
339|When sentencing, the court will decide whether the defendant regretted his actions.|宣判时，法院将决定被告是否后悔自己的行为。
340|Employment figures will decrease in the next few years.|未来几年，就业人数将会下降。
341|Each faculty has a dedicated specialized librarian available in the term examination.|每个院系都有专门的图书管理员在学期考试时提供帮助。
342|Artists, other than politicians, played their own roles as critics of the culture.|除了政治家，艺术家们也扮演了他们自己的角色，作为文化批评家。
343|Criminal charges will be brought against all of the men.|所有这些人都将受到刑事指控。
344|The aim of the policy is to increase government investment.|该政策的目的是增加政府投资。
345|We are continuing to provide postgraduate online learning resources.|我们正在持续提供研究生在线学习资源。
346|This morning’s lecture on economic policy has been canceled.|今天早上的经济政策课取消了。
347|Open day for undergraduate students throughout the years.|全年为本科生举办的开放日。
348|How many styles in the next Monday.|下周一有多少种风格。
